# frequency_cm-1 IR_intensity
7.986549721899999668e+02 2.434283473907872123e-04
8.006768835119999039e+02 2.446126203293160265e-04
8.026987948339999548e+02 2.458060260112245846e-04
8.047207061559998920e+02 2.470086598792603960e-04
8.067426174779999428e+02 2.482206186304595271e-04
8.087645287999998800e+02 2.494420002359939515e-04
8.107864401219999309e+02 2.506729039613885056e-04
8.128083514439998680e+02 2.519134303871115683e-04
8.148302627659999189e+02 2.531636814295501990e-04
8.168521740879999697e+02 2.544237603623752627e-04
8.188740854099999069e+02 2.556937718383079814e-04
8.208959967319999578e+02 2.569738219112938744e-04
8.229179080539998949e+02 2.582640180590937908e-04
8.249398193759999458e+02 2.595644692063019555e-04
8.269617306979998830e+02 2.608752857477979127e-04
8.289836420199999338e+02 2.621965795726452692e-04
8.310055533419998710e+02 2.635284640884426040e-04
8.330274646639999219e+02 2.648710542461411269e-04
8.350493759859998590e+02 2.662244665653344536e-04
8.370712873079999099e+02 2.675888191600356747e-04
8.390931986299999608e+02 2.689642317649478453e-04
8.411151099519998979e+02 2.703508257622426946e-04
8.431370212739999488e+02 2.717487242088557952e-04
8.451589325959998860e+02 2.731580518643115813e-04
8.471808439179999368e+02 2.745789352190889515e-04
8.492027552399998740e+02 2.760115025235401385e-04
8.512246665619999249e+02 2.774558838173744489e-04
8.532465778839998620e+02 2.789122109597203165e-04
8.552684892059999129e+02 2.803806176597784623e-04
8.572904005279999637e+02 2.818612395080786299e-04
8.593123118499999009e+02 2.833542140083549670e-04
8.613342231719999518e+02 2.848596806100534419e-04
8.633561344939998889e+02 2.863777807414844695e-04
8.653780458159999398e+02 2.879086578436382011e-04
8.673999571379998770e+02 2.894524574046738628e-04
8.694218684599999278e+02 2.910093269951031462e-04
8.714437797819998650e+02 2.925794163036788179e-04
8.734656911039999159e+02 2.941628771740090946e-04
8.754876024259998530e+02 2.957598636419104675e-04
8.775095137479999039e+02 2.973705319735207701e-04
8.795314250699999548e+02 2.989950407041852814e-04
8.815533363919998919e+02 3.006335506781375498e-04
8.835752477139999428e+02 3.022862250889920676e-04
8.855971590359998800e+02 3.039532295210672268e-04
8.876190703579999308e+02 3.056347319915599711e-04
8.896409816799998680e+02 3.073309029935900852e-04
8.916628930019999189e+02 3.090419155401362959e-04
8.936848043239998560e+02 3.107679452088841316e-04
8.957067156459999069e+02 3.125091701880093414e-04
8.977286269679999577e+02 3.142657713229154645e-04
8.997505382899998949e+02 3.160379321639528215e-04
9.017724496119999458e+02 3.178258390151394693e-04
9.037943609339998829e+02 3.196296809839084085e-04
9.058162722559999338e+02 3.214496500319082017e-04
9.078381835779998710e+02 3.232859410268794451e-04
9.098600948999999218e+02 3.251387517956356088e-04
9.118820062219998590e+02 3.270082831781736155e-04
9.139039175439999099e+02 3.288947390829434318e-04
9.159258288659999607e+02 3.307983265433026921e-04
9.179477401879998979e+02 3.327192557751881222e-04
9.199696515099999488e+02 3.346577402360326583e-04
9.219915628319998859e+02 3.366139966849576943e-04
9.240134741539999368e+02 3.385882452442755893e-04
9.260353854759998740e+02 3.405807094623308382e-04
9.280572967979999248e+02 3.425916163777178005e-04
9.300792081199998620e+02 3.446211965849043670e-04
9.321011194419999129e+02 3.466696843013032550e-04
9.341230307639998500e+02 3.487373174358205275e-04
9.361449420859999009e+02 3.508243376589251401e-04
9.381668534079999517e+02 3.529309904742726923e-04
9.401887647299998889e+02 3.550575252919273457e-04
9.422106760519999398e+02 3.572041955032201300e-04
9.442325873739998769e+02 3.593712585572854303e-04
9.462544986959999278e+02 3.615589760393216274e-04
9.482764100179998650e+02 3.637676137506164935e-04
9.502983213399999158e+02 3.659974417903863507e-04
9.523202326619998530e+02 3.682487346394734966e-04
9.543421439839999039e+02 3.705217712459529648e-04
9.563640553059999547e+02 3.728168351126956198e-04
9.583859666279998919e+02 3.751342143869408749e-04
9.604078779499999428e+02 3.774742019519322124e-04
9.624297892719998799e+02 3.798370955206674415e-04
9.644517005939999308e+02 3.822231977318228343e-04
9.664736119159998680e+02 3.846328162479061116e-04
9.684955232379999188e+02 3.870662638557007267e-04
9.705174345599998560e+02 3.895238585690589104e-04
9.725393458819999069e+02 3.920059237341105363e-04
9.745612572039998440e+02 3.945127881369492784e-04
9.765831685259998949e+02 3.970447861138664820e-04
9.786050798479999457e+02 3.996022576641976905e-04
9.806269911699998829e+02 4.021855485658573431e-04
9.826489024919999338e+02 4.047950104936320079e-04
9.846708138139998709e+02 4.074310011403077200e-04
9.866927251359999218e+02 4.100938843407117627e-04
9.887146364579998590e+02 4.127840301987465224e-04
9.907365477799999098e+02 4.155018152174997119e-04
9.927584591019998470e+02 4.182476224325156399e-04
9.947803704239998979e+02 4.210218415483170276e-04
9.968022817459999487e+02 4.238248690782658954e-04
9.988241930679998859e+02 4.266571084878593122e-04
1.000846104389999937e+03 4.295189703415565525e-04
1.002868015711999874e+03 4.324108724532346997e-04
1.004889927033999925e+03 4.353332400403811140e-04
1.006911838355999862e+03 4.382865058821219166e-04
1.008933749677999913e+03 4.412711104812038539e-04
1.010955660999999850e+03 4.442875022300352529e-04
1.012977572321999901e+03 4.473361375809095566e-04
1.014999483643999838e+03 4.504174812205265829e-04
1.017021394965999889e+03 4.535320062489409066e-04
1.019043306287999940e+03 4.566801943630616136e-04
1.021065217609999877e+03 4.598625360448398733e-04
1.023087128931999928e+03 4.630795307542807785e-04
1.025109040253999865e+03 4.663316871274177404e-04
1.027130951575999916e+03 4.696195231794027996e-04
1.029152862897999967e+03 4.729435665128574329e-04
1.031174774219999790e+03 4.763043545316444243e-04
1.033196685541999841e+03 4.797024346602226188e-04
1.035218596863999892e+03 4.831383645687470254e-04
1.037240508185999943e+03 4.866127124040946282e-04
1.039262419507999994e+03 4.901260570269877492e-04
1.041284330829999817e+03 4.936789882554037251e-04
1.043306242151999868e+03 4.972721071144613897e-04
1.045328153473999919e+03 5.009060260929796291e-04
1.047350064795999970e+03 5.045813694069155786e-04
1.049371976117999793e+03 5.082987732698933392e-04
1.051393887439999844e+03 5.120588861710408677e-04
1.053415798761999895e+03 5.158623691603615290e-04
1.055437710083999946e+03 5.197098961418771023e-04
1.057459621405999997e+03 5.236021541747816303e-04
1.059481532727999820e+03 5.275398437828609025e-04
1.061503444049999871e+03 5.315236792724361507e-04
1.063525355371999922e+03 5.355543890590972649e-04
1.065547266693999973e+03 5.396327160035141414e-04
1.067569178015999796e+03 5.437594177566050209e-04
1.069591089337999847e+03 5.479352671143703814e-04
