system,frequency_cm-1,real_in_plane,real_out_of_plane,imag_in_plane,imag_out_of_plane,response_kind
MoS2,316.6,2.6735419332,1.1597616921e-05,0.18792287268,3.0607637703e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,316.8,2.6828641844,1.1612914184e-05,0.18936298446,3.0707903807e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,317.0,2.6922571698,1.1628261499e-05,0.19081956746,3.080864481e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,317.2,2.7017216868,1.16436591e-05,0.19229287346,3.0909863732e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,317.4,2.711258545,1.1659107227e-05,0.19378315905,3.1011563619e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,317.6,2.720868566,1.1674606119e-05,0.19529068576,3.1113747541e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,317.8,2.730552584,1.1690156017e-05,0.19681572016,3.1216418592e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,318.0,2.7403114457,1.1705757163e-05,0.19835853397,3.1319579891e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,318.2,2.7501460108,1.1721409803e-05,0.1999194042,3.1423234583e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,318.4,2.760057152,1.1737114181e-05,0.20149861328,3.1527385836e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,318.6,2.7700457555,1.1752870546e-05,0.20309644914,3.1632036847e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,318.8,2.780112721,1.1768679145e-05,0.20471320539,3.1737190834e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,319.0,2.7902589624,1.178454023e-05,0.20634918143,3.1842851045e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,319.2,2.8004854074,1.1800454054e-05,0.2080046826,3.1949020752e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,319.4,2.8107929983,1.1816420868e-05,0.20968002031,3.2055703254e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,319.6,2.8211826922,1.183244093e-05,0.21137551218,3.2162901877e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,319.8,2.8316554612,1.1848514496e-05,0.21309148222,3.2270619974e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,320.0,2.8422122924,1.1864641825e-05,0.21482826093,3.2378860924e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,320.2,2.8528541888,1.1880823177e-05,0.21658618551,3.2487628136e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,320.4,2.8635821694,1.1897058815e-05,0.21836560001,3.2596925044e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,320.6,2.874397269,1.1913349002e-05,0.22016685548,3.2706755112e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,320.8,2.8853005394,1.1929694003e-05,0.22199031014,3.2817121832e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,321.0,2.896293049,1.1946094087e-05,0.22383632958,3.2928028723e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,321.2,2.9073758833,1.1962549522e-05,0.22570528693,3.3039479335e-07,lattice 2D sheet polarizability / epsilon_0
MoS2,321.4,2.9185501458,1.1979060579e-05,0.22759756304,3.3151477245e-07,lattice 2D sheet polarizability / epsilon_0
