z_angstrom,reference_electron_line_density_e_per_angstrom,displaced_electron_line_density_e_per_angstrom,electron_charge_difference_e_per_angstrom,cumulative_charge_difference_e,cumulative_dipole_difference_e_angstrom
-10.996321577131216,-1.8851988698412158e-08,2.1605526701424355e-07,-2.349072557126557e-07,-1.5462902424180696e-08,-1.931189105859718e-06
-10.915506691836532,-6.978885893581605e-08,1.6975465765681913e-07,-2.3954351659263516e-07,-3.482158424069982e-08,-1.7198792849463694e-06
-10.83469180654185,-1.8435875556719492e-08,2.197469689457112e-07,-2.381828445024307e-07,-5.40703034983254e-08,-1.5113253441193493e-06
-10.753876921247164,-7.733899285185802e-08,1.666013912118943e-07,-2.439403840637523e-07,-7.378431765517879e-08,-1.2993232622528238e-06
-10.67306203595248,-1.9217218444208247e-08,2.206153560003251e-07,-2.3983257444453334e-07,-9.31663596488426e-08,-1.0924575256710139e-06
-10.592247150657794,-8.438079189258608e-08,1.6213983819570515e-07,-2.4652063008829124e-07,-1.1308889609220116e-07,-8.814330957949731e-07
-10.51143226536311,-2.108607707490406e-08,2.1859482011599223e-07,-2.396808971908963e-07,-1.324586803060105e-07,-6.778289210368168e-07
-10.430617380068425,-9.053190006081537e-08,1.5651890486406143e-07,-2.470508049248768e-07,-1.5242406276797386e-07,-4.695776557293485e-07
-10.349802494773742,-2.392429804430308e-08,2.136847649219861e-07,-2.3760906296628916e-07,-1.7162641193657194e-07,-2.708371343986755e-07
-10.268987609479057,-9.544761082303534e-08,1.4992540883034652e-07,-2.4537301965338187e-07,-1.9145620437427034e-07,-6.720524155740925e-08
-10.188172724184373,-2.7558159837642534e-08,2.0594921859736968e-07,-2.3350737843501222e-07,-2.103270763779583e-07,1.2505446187213893e-07
-10.107357838889689,-9.882208315278592e-08,1.425452645187741e-07,-2.4136734767156e-07,-2.298331508939176e-07,3.2220933703698675e-07
-10.026542953595003,-3.180657454231917e-08,1.955063718644148e-07,-2.2731294640673398e-07,-2.4820342058377456e-07,5.063996351514616e-07
-9.94572806830032,-1.0037287679999732e-07,1.345530696661881e-07,-2.349259464661854e-07,-2.671889340001845e-07,6.952243888281422e-07
-9.864913183005635,-3.6475968444490225e-08,1.8253542726987529e-07,-2.1901139571436552e-07,-2.848883148230697e-07,8.698272440388593e-07
-9.784098297710951,-9.987616664839313e-08,1.261504559608595e-07,-2.2602662260925264e-07,-3.0315463040278134e-07,1.0485466712077672e-06
-9.703283412416265,-4.135201360507812e-08,1.6727059925132864e-07,-2.0862261285640677e-07,-3.200144429306492e-07,1.2121422104458754e-06
-9.622468527121582,-9.719458006986828e-08,1.1750770977601138e-07,-2.1470228984587966e-07,-3.3736558385705004e-07,1.3791030179198186e-06
-9.5416536418269,-4.624567598329341e-08,1.4998955020608552e-07,-1.9623522618937892e-07,-3.5322431115232114e-07,1.5304215009714816e-06
-9.460838756532215,-9.22489074262806e-08,1.087888416298995e-07,-2.010377490561801e-07,-3.6947115378219786e-07,1.6841302593954992e-06
-9.38002387123753,-5.0959727029476644e-08,1.3101620997312188e-07,-1.819759370025985e-07,-3.8417751825745554e-07,1.8220763092325362e-06
-9.299208985942846,-8.50450873660413e-08,1.0015368412422113e-07,-1.8519877149026244e-07,-3.9914433573215756e-07,1.9612558727842515e-06
-9.218394100648162,-5.5320527239441835e-08,1.1071548600798658e-07,-1.6603601324742842e-07,-4.1256251709753516e-07,2.0849499567242755e-06
-9.137579215353476,-7.568247237014941e-08,9.170274199459786e-08,-1.6738521436474728e-07,-4.2608973399644835e-07,2.208555972701363e-06
-9.056764330058792,-5.916042426974094e-08,8.946318586190566e-08,-1.486236101316466e-07,-4.3810073400131925e-07,2.317336769113814e-06
-8.975949444764108,-6.433945083334337e-08,8.352545963469846e-08,-1.4786491046804184e-07,-4.500504197799028e-07,2.4245965445431965e-06
-8.895134559469424,-6.234109424910225e-08,6.764824305761086e-08,-1.299893373067131e-07,-4.6055549316387684e-07,2.5180405858507464e-06
-8.81431967417474,-5.1281913096120635e-08,7.567633501317997e-08,-1.2695824810930062e-07,-4.7081560942204405e-07,2.6084765304444296e-06
-8.733504788880055,-6.477572772709613e-08,4.5667310851980494e-08,-1.1044303857907663e-07,-4.797410509164085e-07,2.6864269164783306e-06
-8.65268990358537,-3.105669643404942e-08,7.391887998169926e-08,-1.0497557641574868e-07,-4.882246400831907e-07,2.7598327828079122e-06
-8.571875018290687,1.1588440386664196e-07,2.0619978384511083e-07,-9.031537997846887e-08,-4.955234671564965e-07,2.822397416260406e-06
-8.491060132996001,6.261790520654878e-07,7.087096775355269e-07,-8.25306254700391e-08,-5.021931701871563e-07,2.879030265762964e-06
-8.410245247701317,1.3496453791757315e-06,1.4198988849428306e-06,-7.025350576709908e-08,-5.078706991972738e-07,2.9267796771389917e-06
-8.329430362406633,2.669473648535972e-06,2.72979297873834e-06,-6.031933020236772e-08,-5.127453989486303e-07,2.967383149255557e-06
-8.248615477111949,4.5719027381019e-06,4.623056841371005e-06,-5.1154103269104577e-08,-5.168794119366754e-07,3.001483032771328e-06
-8.167800591817265,7.4130710750842285e-06,7.4525689578538714e-06,-3.949788276964288e-08,-5.200714288020871e-07,3.027554790013727e-06
-8.08698570652258,1.0978880068656968e-05,1.1012762714890214e-05,-3.38826462332455e-08,-5.228096509709071e-07,3.049698753554259e-06
-8.006170821227895,1.585676720045905e-05,1.58777742469897e-05,-2.1007046530648174e-08,-5.245073330266616e-07,3.0632906860927622e-06
-7.925355935933211,2.2083471620798907e-05,2.210329931901691e-05,-1.9827698218003093e-08,-5.261097061838071e-07,3.0759900637053255e-06
-7.844541050638527,3.0328631579307765e-05,3.0335623121814255e-05,-6.991542506490253e-09,-5.26674726889502e-07,3.08042239182561e-06
