# Planar electrostatic potential
# plane = xy
# average_normal = 1
# normal_axis = z, normal_index = -1
# coord_mode = cartesian
# ia   ib   coord1(Angstrom)   coord2(Angstrom)   V(eV)
    8     7       0.63759508      -0.06902165       2.27839206
    8     8       0.67744478       0.00000000       2.24434861
    8     9       0.71729447       0.06902165       2.19599277
    8    10       0.75714416       0.13804329       2.13015549
    8    11       0.79699385       0.20706494       2.04260425
    8    12       0.83684355       0.27608659       1.92806928
    8    13       0.87669324       0.34510823       1.77964962
    8    14       0.91654293       0.41412988       1.58872762
    8    15       0.95639263       0.48315153       1.34343409
    8    16       0.99624232       0.55217318       1.02844262
    8    17       1.03609201       0.62119482       0.62648269
    8    18       1.07594170       0.69021647       0.11923074
    8    19       1.11579140       0.75923812      -0.49299187
    8    20       1.15564109       0.82825976      -1.16896019
    8    21       1.19549078       0.89728141      -1.83167904
    8    22       1.23534047       0.96630306      -2.39065146
    8    23       1.27519017       1.03532470      -2.76378178
    8    24       1.31503986       1.10434635      -2.89479860
    8    25       1.35488955       1.17336800      -2.76378178
    8    26       1.39473925       1.24238964      -2.39065147
    8    27       1.43458894       1.31141129      -1.83167905
    8    28       1.47443863       1.38043294      -1.16896019
    8    29       1.51428832       1.44945459      -0.49299188
    8    30       1.55413802       1.51847623       0.11923074
    8    31       1.59398771       1.58749788       0.62648269
    8    32       1.63383740       1.65651953       1.02844262
    8    33       1.67368709       1.72554117       1.34343409
    8    34       1.71353679       1.79456282       1.58872762
    8    35       1.75338648       1.86358447       1.77964962
    8    36       1.79323617       1.93260611       1.92806928
    8    37       1.83308587       2.00162776       2.04260425
    8    38       1.87293556       2.07064941       2.13015549
    8    39       1.91278525       2.13967106       2.19599277
    9     0       0.39849693      -0.62119482       2.16034662
    9     1       0.43834662      -0.55217318       2.19892282
    9     2       0.47819631      -0.48315153       2.22450537
    9     3       0.51804601      -0.41412988       2.23997773
    9     4       0.55789570      -0.34510823       2.24727986
    9     5       0.59774539      -0.27608659       2.24727986
    9     6       0.63759508      -0.20706494       2.23997773
    9     7       0.67744478      -0.13804329       2.22450537
    9     8       0.71729447      -0.06902165       2.19892282
    9     9       0.75714416       0.00000000       2.16034662
    9    10       0.79699385       0.06902165       2.10516316
    9    11       0.83684355       0.13804329       2.02878003
    9    12       0.87669324       0.20706494       1.92531123
    9    13       0.91654293       0.27608659       1.78721928
    9    14       0.95639263       0.34510823       1.60461377
    9    15       0.99624232       0.41412988       1.36383591
    9    16       1.03609201       0.48315153       1.04580168
    9    17       1.07594170       0.55217318       0.62648269
    9    18       1.11579140       0.62119482       0.07554426
    9    19       1.15564109       0.69021647      -0.62062613
    9    20       1.19549078       0.75923812      -1.42676191
    9    21       1.23534047       0.82825976      -2.26033569
    9    22       1.27519017       0.89728141      -3.01505987
    9    23       1.31503986       0.96630306      -3.58651411
    9    24       1.35488955       1.03532470      -3.89390620
    9    25       1.39473925       1.10434635      -3.89390620
    9    26       1.43458894       1.17336800      -3.58651411
    9    27       1.47443863       1.24238964      -3.01505987
    9    28       1.51428832       1.31141129      -2.26033569
    9    29       1.55413802       1.38043294      -1.42676192
    9    30       1.59398771       1.44945459      -0.62062613
    9    31       1.63383740       1.51847623       0.07554426
    9    32       1.67368709       1.58749788       0.62648269
    9    33       1.71353679       1.65651953       1.04580168
    9    34       1.75338648       1.72554117       1.36383591
    9    35       1.79323617       1.79456282       1.60461377
    9    36       1.83308587       1.86358447       1.78721928
    9    37       1.87293556       1.93260611       1.92531123
    9    38       1.91278525       2.00162776       2.02878003
    9    39       1.95263494       2.07064941       2.10516316
   10     0       0.43834662      -0.69021647       2.06279325
   10     1       0.47819631      -0.62119482       2.10460503
   10     2       0.51804601      -0.55217318       2.13164933
   10     3       0.55789570      -0.48315153       2.14796723
   10     4       0.59774539      -0.41412988       2.15660125
   10     5       0.63759508      -0.34510823       2.15930083
   10     6       0.67744478      -0.27608659       2.15660125
   10     7       0.71729447      -0.20706494       2.14796723
   10     8       0.75714416      -0.13804329       2.13164933
   10     9       0.79699385      -0.06902165       2.10460503
   10    10       0.83684355       0.00000000       2.06279325
   10    11       0.87669324       0.06902165       2.00123918
   10    12       0.91654293       0.13804329       1.91356473
   10    13       0.95639263       0.20706494       1.79172800
   10    14       0.99624232       0.27608659       1.62528339
   10    15       1.03609201       0.34510823       1.39987532
   10    16       1.07594170       0.41412988       1.09435021
   10    17       1.11579140       0.48315153       0.68060520
   10    18       1.15564109       0.55217318       0.11923074
   10    19       1.19549078       0.62119482      -0.62062613
   10    20       1.23534047       0.69021647      -1.51813555
   10    21       1.27519017       0.75923812      -2.49357116
   10    22       1.31503986       0.82825976      -3.43131288
   10    23       1.35488955       0.89728141      -4.20781079
   10    24       1.39473925       0.96630306      -4.71857580
   10    25       1.43458894       1.03532470      -4.89642725
   10    26       1.47443863       1.10434635      -4.71857581
   10    27       1.51428832       1.17336800      -4.20781079
   10    28       1.55413802       1.24238964      -3.43131288
   10    29       1.59398771       1.31141129      -2.49357117
   10    30       1.63383740       1.38043294      -1.51813555
   10    31       1.67368709       1.44945459      -0.62062613
   10    32       1.71353679       1.51847623       0.11923074
   10    33       1.75338648       1.58749788       0.68060520
   10    34       1.79323617       1.65651953       1.09435020
   10    35       1.83308587       1.72554117       1.39987532
   10    36       1.87293556       1.79456282       1.62528339
   10    37       1.91278525       1.86358447       1.79172800
   10    38       1.95263494       1.93260611       1.91356473
   10    39       1.99248464       2.00162776       2.00123918
   11     0       0.47819631      -0.75923812       1.95203151
   11     1       0.51804601      -0.69021647       1.99523297
   11     2       0.55789570      -0.62119482       2.02126842
   11     3       0.59774539      -0.55217318       2.03557211
   11     4       0.63759508      -0.48315153       2.04257710
   11     5       0.67744478      -0.41412988       2.04530790
   11     6       0.71729447      -0.34510823       2.04530790
   11     7       0.75714416      -0.27608659       2.04257710
   11     8       0.79699385      -0.20706494       2.03557211
   11     9       0.83684355      -0.13804329       2.02126842
   11    10       0.87669324      -0.06902165       1.99523297
   11    11       0.91654293       0.00000000       1.95203151
   11    12       0.95639263       0.06902165       1.88483510
   11    13       0.99624232       0.13804329       1.78531802
   11    14       1.03609201       0.20706494       1.64265574
   11    15       1.07594170       0.27608659       1.44267769
   11    16       1.11579140       0.34510823       1.16428798
   11    17       1.15564109       0.41412988       0.77820966
   11    18       1.19549078       0.48315153       0.24138328
   11    19       1.23534047       0.55217318      -0.49299187
   11    20       1.27519017       0.62119482      -1.42676191
   11    21       1.31503986       0.69021647      -2.49357116
   11    22       1.35488955       0.75923812      -3.57732420
   11    23       1.39473925       0.82825976      -4.54116128
   11    24       1.43458894       0.89728141      -5.25929773
   11    25       1.47443863       0.96630306      -5.64137531
   11    26       1.51428832       1.03532470      -5.64137531
   11    27       1.55413802       1.10434635      -5.25929773
   11    28       1.59398771       1.17336800      -4.54116128
   11    29       1.63383740       1.24238964      -3.57732421
   11    30       1.67368709       1.31141129      -2.49357117
   11    31       1.71353679       1.38043294      -1.42676192
   11    32       1.75338648       1.44945459      -0.49299188
   11    33       1.79323617       1.51847623       0.24138328
   11    34       1.83308587       1.58749788       0.77820966
   11    35       1.87293556       1.65651953       1.16428798
   11    36       1.91278525       1.72554117       1.44267769
   11    37       1.95263494       1.79456282       1.64265574
   11    38       1.99248464       1.86358447       1.78531802
   11    39       2.03233433       1.93260611       1.88483510
   12     0       0.51804601      -0.82825976       1.82942322
   12     1       0.55789570      -0.75923812       1.87155149
   12     2       0.59774539      -0.69021647       1.89296579
   12     3       0.63759508      -0.62119482       1.90108666
   12     4       0.67744478      -0.55217318       1.90198022
   12     5       0.71729447      -0.48315153       1.90055731
   12     6       0.75714416      -0.41412988       1.89973058
   12     7       0.79699385      -0.34510823       1.90055731
   12     8       0.83684355      -0.27608659       1.90198022
   12     9       0.87669324      -0.20706494       1.90108666
   12    10       0.91654293      -0.13804329       1.89296579
   12    11       0.95639263      -0.06902165       1.87155149
   12    12       0.99624232       0.00000000       1.82942322
   12    13       1.03609201       0.06902165       1.75783950
   12    14       1.07594170       0.13804329       1.64609804
   12    15       1.11579140       0.20706494       1.48048964
   12    16       1.15564109       0.27608659       1.24152127
   12    17       1.19549078       0.34510823       0.90107590
   12    18       1.23534047       0.41412988       0.41847272
   12    19       1.27519017       0.48315153      -0.26205659
   12    20       1.31503986       0.55217318      -1.16896019
   12    21       1.35488955       0.62119482      -2.26033569
   12    22       1.39473925       0.69021647      -3.43131288
   12    23       1.43458894       0.75923812      -4.54116128
   12    24       1.47443863       0.82825976      -5.44725806
   12    25       1.51428832       0.89728141      -6.03753806
   12    26       1.55413802       0.96630306      -6.24257308
   12    27       1.59398771       1.03532470      -6.03753806
   12    28       1.63383740       1.10434635      -5.44725807
   12    29       1.67368709       1.17336800      -4.54116128
   12    30       1.71353679       1.24238964      -3.43131288
   12    31       1.75338648       1.31141129      -2.26033569
   12    32       1.79323617       1.38043294      -1.16896019
   12    33       1.83308587       1.44945459      -0.26205659
   12    34       1.87293556       1.51847623       0.41847272
   12    35       1.91278525       1.58749788       0.90107590
   12    36       1.95263494       1.65651953       1.24152127
   12    37       1.99248464       1.72554117       1.48048964
   12    38       2.03233433       1.79456282       1.64609804
   12    39       2.07218402       1.86358447       1.75783950
   13     0       0.55789570      -0.89728141       1.69756937
   13     1       0.59774539      -0.82825976       1.73532364
   13     2       0.63759508      -0.75923812       1.74748613
   13     3       0.67744478      -0.69021647       1.74367893
   13     4       0.71729447      -0.62119482       1.73212854
   13     5       0.75714416      -0.55217318       1.72004098
   13     6       0.79699385      -0.48315153       1.71264096
   13     7       0.83684355      -0.41412988       1.71264096
   13     8       0.87669324      -0.34510823       1.72004098
   13     9       0.91654293      -0.27608659       1.73212854
   13    10       0.95639263      -0.20706494       1.74367893
   13    11       0.99624232      -0.13804329       1.74748613
   13    12       1.03609201      -0.06902165       1.73532364
   13    13       1.07594170       0.00000000       1.69756937
   13    14       1.11579140       0.06902165       1.62343848
   13    15       1.15564109       0.13804329       1.49976797
   13    16       1.19549078       0.20706494       1.30963059
   13    17       1.23534047       0.27608659       1.02778994
   13    18       1.27519017       0.34510823       0.61905798
   13    19       1.31503986       0.41412988       0.03017527
   13    20       1.35488955       0.48315153      -0.78948541
   13    21       1.39473925       0.55217318      -1.83167904
   13    22       1.43458894       0.62119482      -3.01505987
   13    23       1.47443863       0.69021647      -4.20781078
   13    24       1.51428832       0.75923812      -5.25929773
   13    25       1.55413802       0.82825976      -6.03753805
   13    26       1.59398771       0.89728141      -6.45183202
   13    27       1.63383740       0.96630306      -6.45183202
   13    28       1.67368709       1.03532470      -6.03753806
   13    29       1.71353679       1.10434635      -5.25929773
   13    30       1.75338648       1.17336800      -4.20781079
   13    31       1.79323617       1.24238964      -3.01505987
   13    32       1.83308587       1.31141129      -1.83167905
   13    33       1.87293556       1.38043294      -0.78948542
   13    34       1.91278525       1.44945459       0.03017527
   13    35       1.95263494       1.51847623       0.61905798
   13    36       1.99248464       1.58749788       1.02778994
   13    37       2.03233433       1.65651953       1.30963059
