# omega(eV)            xx             xy             xz             yx             yy             yz             zx             zy             zz
   9.50000   7.028919e-01   2.821179e-09  -2.718597e-08   2.821178e-09   7.028919e-01   3.254851e-08  -2.718597e-08   3.254852e-08   6.299111e-01
   9.60000   6.531951e-01   4.030163e-09  -1.790120e-08   4.030168e-09   6.531951e-01   2.245707e-08  -1.790120e-08   2.245707e-08   5.152019e-01
   9.70000   5.702164e-01   3.665872e-09  -7.681463e-09   3.665869e-09   5.702164e-01   1.702417e-08  -7.681464e-09   1.702417e-08   4.230188e-01
   9.80000   5.526076e-01   3.042071e-09  -4.715397e-09   3.042055e-09   5.526077e-01   2.395890e-08  -4.715398e-09   2.395890e-08   4.754632e-01
   9.90000   5.657845e-01   2.203399e-09  -3.018110e-09   2.203409e-09   5.657845e-01   1.729056e-08  -3.018111e-09   1.729055e-08   4.319692e-01
  10.00000   6.035265e-01   1.066328e-09   2.655669e-10   1.066315e-09   6.035266e-01   1.225866e-08   2.655697e-10   1.225867e-08   4.509295e-01
  10.10000   5.462786e-01  -2.460733e-10  -9.321521e-09  -2.460580e-10   5.462786e-01   1.558412e-08  -9.321526e-09   1.558412e-08   4.726369e-01
  10.20000   5.431504e-01  -5.739684e-10  -1.909172e-08  -5.739649e-10   5.431504e-01   1.894448e-08  -1.909171e-08   1.894448e-08   5.364003e-01
  10.30000   5.639650e-01   4.529821e-10  -3.996387e-09   4.529822e-10   5.639650e-01   1.326787e-08  -3.996386e-09   1.326787e-08   4.267656e-01
  10.40000   5.476806e-01  -1.938427e-09  -1.900556e-09  -1.938424e-09   5.476806e-01   9.754594e-09  -1.900553e-09   9.754592e-09   4.061551e-01
  10.50000   4.766403e-01  -3.134964e-09   4.347506e-09  -3.134968e-09   4.766404e-01   1.634137e-08   4.347510e-09   1.634136e-08   4.032447e-01
  10.60000   4.844500e-01  -3.209797e-09   1.749727e-08  -3.209794e-09   4.844500e-01   9.210635e-09   1.749726e-08   9.210637e-09   3.707021e-01
  10.70000   5.545739e-01  -3.285948e-09   2.090009e-08  -3.285944e-09   5.545739e-01   1.832621e-08   2.090009e-08   1.832620e-08   4.354928e-01
  10.80000   6.840967e-01  -1.760054e-09   4.450427e-09  -1.760058e-09   6.840967e-01   1.303748e-08   4.450425e-09   1.303748e-08   4.213460e-01
  10.90000   6.153349e-01  -1.658902e-09   4.659351e-09  -1.658906e-09   6.153350e-01   1.110442e-08   4.659352e-09   1.110442e-08   3.510115e-01
  11.00000   5.184046e-01  -2.839679e-09   7.411931e-09  -2.839677e-09   5.184046e-01  -1.740251e-09   7.411931e-09  -1.740249e-09   3.599907e-01
  11.10000   4.234534e-01  -7.408013e-10  -1.085206e-09  -7.408020e-10   4.234534e-01   2.195861e-09  -1.085209e-09   2.195862e-09   3.367049e-01
  11.20000   4.160758e-01  -3.459704e-09  -2.911218e-09  -3.459698e-09   4.160758e-01   1.118339e-08  -2.911217e-09   1.118339e-08   3.655054e-01
  11.30000   3.935888e-01   2.732023e-10  -6.229747e-09   2.731991e-10   3.935888e-01   1.254886e-08  -6.229751e-09   1.254886e-08   4.095289e-01
  11.40000   3.838101e-01  -2.418935e-09  -1.368593e-08  -2.418932e-09   3.838102e-01   1.246088e-08  -1.368593e-08   1.246088e-08   4.513084e-01
  11.50000   3.714488e-01   6.731627e-10  -2.175567e-08   6.731588e-10   3.714488e-01   1.824971e-08  -2.175566e-08   1.824972e-08   5.282629e-01
  11.60000   3.781019e-01  -2.899196e-09  -2.294271e-08  -2.899195e-09   3.781019e-01   1.570892e-08  -2.294271e-08   1.570892e-08   5.236456e-01
  11.70000   3.844729e-01  -7.739713e-10  -1.160770e-08  -7.739727e-10   3.844730e-01   1.196056e-08  -1.160770e-08   1.196055e-08   5.024455e-01
  11.80000   3.970195e-01  -2.575169e-09  -7.570541e-09  -2.575177e-09   3.970196e-01  -4.897082e-09  -7.570541e-09  -4.897079e-09   5.046104e-01
  11.90000   4.448127e-01  -8.593348e-11  -7.826333e-09  -8.592567e-11   4.448128e-01   4.086338e-09  -7.826336e-09   4.086341e-09   4.617363e-01
  12.00000   3.982124e-01  -4.009481e-10  -4.023629e-09  -4.009501e-10   3.982124e-01   1.316851e-08  -4.023630e-09   1.316851e-08   4.486149e-01
  12.10000   3.603308e-01   1.147281e-09  -3.547918e-09   1.147287e-09   3.603308e-01   1.166103e-08  -3.547914e-09   1.166103e-08   4.529560e-01
  12.20000   2.964551e-01  -4.690740e-10  -1.055851e-08  -4.690783e-10   2.964551e-01   5.091909e-09  -1.055851e-08   5.091907e-09   4.348195e-01
  12.30000   2.852814e-01   1.822863e-09  -1.287895e-08   1.822860e-09   2.852815e-01   3.652337e-09  -1.287895e-08   3.652337e-09   4.197817e-01
  12.40000   3.037543e-01   1.775518e-10  -1.939673e-08   1.775547e-10   3.037543e-01  -1.400965e-09  -1.939674e-08  -1.400967e-09   4.468285e-01
  12.50000   3.233823e-01  -4.312519e-09  -1.468421e-08  -4.312522e-09   3.233823e-01   2.701930e-09  -1.468421e-08   2.701930e-09   4.362846e-01
  12.60000   3.151855e-01  -4.329020e-09  -9.219178e-09  -4.329021e-09   3.151855e-01   5.179670e-09  -9.219180e-09   5.179672e-09   4.399702e-01
  12.70000   3.373022e-01  -1.844764e-09  -1.422250e-08  -1.844763e-09   3.373022e-01  -6.111069e-09  -1.422250e-08  -6.111068e-09   4.216767e-01
  12.80000   3.135733e-01  -4.229939e-10  -1.425338e-08  -4.229927e-10   3.135734e-01  -4.043980e-09  -1.425338e-08  -4.043982e-09   3.529542e-01
  12.90000   3.014804e-01  -2.153419e-10  -1.411984e-08  -2.153422e-10   3.014804e-01   3.924544e-10  -1.411984e-08   3.924556e-10   3.480636e-01
  13.00000   2.770279e-01  -1.312966e-09  -8.616555e-09  -1.312963e-09   2.770279e-01  -6.339790e-10  -8.616557e-09  -6.339785e-10   3.605016e-01
  13.10000   2.654152e-01  -5.245067e-10  -4.484102e-09  -5.245047e-10   2.654152e-01  -9.117474e-10  -4.484101e-09  -9.117488e-10   2.765832e-01
  13.20000   2.533532e-01  -6.714300e-10  -1.749450e-09  -6.714313e-10   2.533532e-01  -2.194170e-09  -1.749450e-09  -2.194172e-09   2.525553e-01
  13.30000   2.194403e-01   1.188901e-10  -1.126773e-09   1.188917e-10   2.194403e-01  -7.795115e-09  -1.126776e-09  -7.795117e-09   2.611173e-01
  13.40000   2.246980e-01   3.386383e-10   4.622997e-09   3.386399e-10   2.246980e-01  -9.949500e-09   4.623000e-09  -9.949500e-09   2.588495e-01
  13.50000   2.025628e-01  -9.482400e-10  -1.021307e-09  -9.482385e-10   2.025628e-01  -1.058288e-08  -1.021307e-09  -1.058288e-08   2.634218e-01
  13.60000   1.868446e-01   3.044967e-10   5.809520e-10   3.044946e-10   1.868446e-01  -1.126828e-08   5.809513e-10  -1.126828e-08   2.744777e-01
  13.70000   1.748037e-01   4.550517e-10  -5.430482e-10   4.550505e-10   1.748037e-01  -1.191078e-08  -5.430485e-10  -1.191078e-08   2.677674e-01
  13.80000   1.784971e-01   5.530680e-10  -6.746350e-09   5.530671e-10   1.784971e-01  -7.000125e-09  -6.746353e-09  -7.000125e-09   2.354757e-01
  13.90000   1.852264e-01   3.432513e-10  -1.089525e-08   3.432510e-10   1.852264e-01  -4.045456e-09  -1.089525e-08  -4.045457e-09   2.292535e-01
  14.00000   1.895567e-01  -7.307763e-10  -6.468651e-09  -7.307761e-10   1.895567e-01  -2.829539e-09  -6.468650e-09  -2.829539e-09   2.011131e-01
  14.10000   1.647261e-01   4.961188e-10  -5.899265e-09   4.961171e-10   1.647262e-01  -7.014392e-09  -5.899266e-09  -7.014393e-09   1.842817e-01
  14.20000   1.599547e-01  -7.406280e-10  -8.258318e-09  -7.406285e-10   1.599547e-01  -1.039669e-08  -8.258316e-09  -1.039669e-08   1.768921e-01
