# omega(eV)            xx             xy             xz             yx             yy             yz             zx             zy             zz
  10.70000   6.704665e-01  -1.053854e-09  -4.506255e-09  -1.053859e-09   6.704664e-01  -7.363019e-09  -4.506255e-09  -7.363021e-09   6.383869e-01
  10.80000   5.771926e-01   3.900603e-10  -1.135103e-08   3.900486e-10   5.771926e-01  -1.201541e-08  -1.135103e-08  -1.201541e-08   6.143256e-01
  10.90000   4.488122e-01   7.798602e-10  -9.985864e-09   7.798568e-10   4.488122e-01  -7.252931e-09  -9.985864e-09  -7.252937e-09   6.362158e-01
  11.00000   4.224129e-01  -1.765393e-09  -1.123868e-08  -1.765386e-09   4.224129e-01  -6.915991e-09  -1.123868e-08  -6.915985e-09   6.867213e-01
  11.10000   4.567388e-01   6.142007e-10  -1.488849e-08   6.141982e-10   4.567388e-01   3.945568e-09  -1.488849e-08   3.945565e-09   6.975187e-01
  11.20000   4.897620e-01   2.895897e-09  -1.632174e-08   2.895898e-09   4.897620e-01   3.994390e-09  -1.632174e-08   3.994391e-09   7.675416e-01
  11.30000   5.066371e-01  -9.364026e-10  -1.387952e-08  -9.364034e-10   5.066371e-01  -2.251518e-09  -1.387952e-08  -2.251521e-09   7.910014e-01
  11.40000   5.542652e-01   1.606669e-09  -1.724734e-08   1.606673e-09   5.542652e-01   4.219325e-09  -1.724734e-08   4.219330e-09   8.248681e-01
  11.50000   5.722109e-01   4.306272e-10  -1.345259e-08   4.306259e-10   5.722109e-01  -4.737054e-09  -1.345259e-08  -4.737052e-09   7.795296e-01
  11.60000   5.956111e-01  -1.761467e-09   3.611377e-09  -1.761466e-09   5.956111e-01  -1.372734e-08   3.611372e-09  -1.372734e-08   7.141770e-01
  11.70000   5.851463e-01   2.255843e-10   8.271728e-09   2.255824e-10   5.851463e-01  -1.840336e-08   8.271726e-09  -1.840336e-08   6.856265e-01
  11.80000   6.155307e-01   1.531215e-09   4.017293e-09   1.531219e-09   6.155307e-01  -4.940158e-09   4.017294e-09  -4.940163e-09   6.714958e-01
  11.90000   6.011380e-01  -9.201375e-10   5.473833e-10  -9.201281e-10   6.011380e-01  -3.640754e-10   5.473823e-10  -3.640713e-10   6.589390e-01
  12.00000   5.179766e-01   1.527693e-09  -2.218867e-10   1.527694e-09   5.179766e-01  -5.659754e-09  -2.218867e-10  -5.659759e-09   6.516455e-01
  12.10000   5.236468e-01  -8.499156e-11  -6.142008e-09  -8.499670e-11   5.236468e-01  -1.778002e-08  -6.142004e-09  -1.778001e-08   6.658100e-01
  12.20000   5.421889e-01  -9.038957e-11  -5.086156e-09  -9.039304e-11   5.421889e-01  -8.070263e-09  -5.086159e-09  -8.070258e-09   6.373490e-01
  12.30000   5.946487e-01  -2.775178e-09  -4.559428e-09  -2.775176e-09   5.946487e-01  -1.422310e-08  -4.559425e-09  -1.422310e-08   6.715280e-01
  12.40000   6.191941e-01  -2.419609e-09  -1.190128e-09  -2.419611e-09   6.191941e-01  -8.856321e-09  -1.190130e-09  -8.856321e-09   6.477323e-01
  12.50000   6.206698e-01  -3.945890e-09   6.503837e-09  -3.945891e-09   6.206697e-01  -6.400406e-09   6.503835e-09  -6.400403e-09   6.516462e-01
  12.60000   6.161578e-01   7.703995e-10   6.711222e-09   7.703974e-10   6.161577e-01  -1.616731e-08   6.711225e-09  -1.616731e-08   6.018711e-01
  12.70000   6.196355e-01   1.771463e-09   2.808953e-09   1.771464e-09   6.196355e-01  -8.889176e-09   2.808952e-09  -8.889175e-09   5.908261e-01
  12.80000   5.751591e-01   2.501554e-09   7.826784e-09   2.501556e-09   5.751591e-01  -5.049802e-09   7.826783e-09  -5.049804e-09   5.617032e-01
  12.90000   5.864781e-01   1.010285e-09   1.109689e-08   1.010287e-09   5.864781e-01  -6.375554e-09   1.109689e-08  -6.375554e-09   5.986577e-01
  13.00000   5.821496e-01   6.857063e-10   1.531575e-08   6.857009e-10   5.821496e-01  -7.448837e-09   1.531576e-08  -7.448837e-09   5.733857e-01
  13.10000   5.953914e-01   1.329684e-09   1.392474e-08   1.329679e-09   5.953914e-01  -9.098430e-09   1.392474e-08  -9.098426e-09   5.684132e-01
  13.20000   5.905794e-01   4.701504e-10   1.028775e-08   4.701544e-10   5.905794e-01  -9.872176e-09   1.028775e-08  -9.872176e-09   6.250844e-01
  13.30000   6.002736e-01   8.489732e-10   1.117668e-08   8.489756e-10   6.002735e-01  -7.762591e-09   1.117668e-08  -7.762593e-09   6.373385e-01
  13.40000   6.132655e-01   6.959544e-10   7.271337e-09   6.959544e-10   6.132655e-01  -7.389123e-09   7.271339e-09  -7.389124e-09   6.632949e-01
  13.50000   6.174615e-01   1.323114e-09   2.475363e-09   1.323110e-09   6.174615e-01  -1.257766e-09   2.475361e-09  -1.257766e-09   6.732793e-01
  13.60000   6.282952e-01   3.883231e-10   1.778088e-09   3.883204e-10   6.282952e-01  -6.360139e-10   1.778089e-09  -6.360140e-10   6.502676e-01
  13.70000   6.538746e-01   2.319065e-10  -4.123328e-10   2.319080e-10   6.538746e-01   6.892408e-09  -4.123332e-10   6.892409e-09   6.619052e-01
  13.80000   6.697511e-01  -1.346782e-11  -2.041428e-09  -1.346711e-11   6.697511e-01   6.945497e-09  -2.041430e-09   6.945497e-09   6.392497e-01
  13.90000   6.752248e-01  -1.997523e-10   2.704090e-09  -1.997528e-10   6.752248e-01   5.634495e-09   2.704093e-09   5.634490e-09   6.501947e-01
  14.00000   6.742976e-01  -2.920828e-10   6.547791e-09  -2.920838e-10   6.742976e-01   8.813592e-09   6.547792e-09   8.813591e-09   6.571092e-01
  14.10000   6.696090e-01  -1.430379e-11   5.666115e-09  -1.430502e-11   6.696090e-01   3.835589e-09   5.666115e-09   3.835591e-09   6.680542e-01
  14.20000   6.890001e-01  -3.546503e-10   7.247986e-09  -3.546485e-10   6.890001e-01   1.218744e-08   7.247987e-09   1.218744e-08   6.880002e-01
  14.30000   6.862932e-01   6.168742e-10   8.493716e-09   6.168747e-10   6.862932e-01   2.127905e-08   8.493716e-09   2.127905e-08   6.967027e-01
  14.40000   7.069382e-01  -3.420766e-10   3.843840e-09  -3.420769e-10   7.069382e-01   1.156353e-08   3.843839e-09   1.156353e-08   7.358371e-01
  14.50000   7.204227e-01   2.152480e-10   4.624253e-09   2.152498e-10   7.204227e-01   1.170039e-08   4.624254e-09   1.170040e-08   7.530516e-01
  14.60000   7.339791e-01  -1.613938e-10   6.076938e-09  -1.613945e-10   7.339791e-01  -1.244093e-09   6.076939e-09  -1.244091e-09   7.518903e-01
  14.70000   7.459449e-01  -8.090625e-11   8.239718e-09  -8.090710e-11   7.459449e-01  -4.798394e-09   8.239718e-09  -4.798396e-09   7.783739e-01
  14.80000   7.400671e-01  -6.953812e-10   1.203936e-08  -6.953816e-10   7.400671e-01   8.750866e-10   1.203937e-08   8.750856e-10   7.883769e-01
  14.90000   7.460851e-01  -1.753273e-10   1.109214e-08  -1.753269e-10   7.460851e-01   1.004656e-09   1.109214e-08   1.004656e-09   8.045671e-01
  15.00000   7.454494e-01   1.155269e-09   1.189125e-08   1.155269e-09   7.454494e-01   2.130407e-09   1.189125e-08   2.130407e-09   8.024889e-01
  15.10000   7.452001e-01  -1.572796e-10   9.615894e-09  -1.572795e-10   7.452001e-01   5.822676e-09   9.615895e-09   5.822676e-09   8.177314e-01
  15.20000   7.552316e-01   1.043647e-10   1.130617e-08   1.043651e-10   7.552316e-01   5.237383e-09   1.130617e-08   5.237383e-09   8.474084e-01
  15.30000   7.615167e-01   6.139600e-10   1.288980e-08   6.139605e-10   7.615167e-01   4.621874e-09   1.288979e-08   4.621874e-09   8.458241e-01
  15.40000   7.786771e-01   8.178259e-10   1.324607e-08   8.178269e-10   7.786771e-01   6.524994e-09   1.324607e-08   6.524993e-09   8.309984e-01
