mode,frequency_cm-1,activity_normalized,depolarization_ratio,Rxx,Rxy,Rxz,Ryx,Ryy,Ryz,Rzx,Rzy,Rzz
45,674.2520973025947,2.2032593199648414e-12,0.75,0.0,2.4437956359289145e-10,-2.506603955493508e-06,2.4437956359289145e-10,0.0,4.08006603374602e-07,-2.506603955493508e-06,4.08006603374602e-07,0.0
46,674.2551249137829,4.844519876455186e-12,0.7500000000000001,0.0,3.73702939381226e-06,-1.0446277920872437e-10,3.73702939381226e-06,0.0,-4.6465676853950245e-07,-1.0446277920872437e-10,-4.6465676853950245e-07,0.0
47,716.5827116838277,5.942112384670301e-07,0.75,0.0,-1.3291574777385064e-06,-0.0013710677976263778,-1.3291574777385064e-06,0.0,4.855312273108766e-12,-0.0013710677976263778,4.855312273108766e-12,0.0
48,716.6071352969127,5.733567613173786e-07,0.75,0.0,-6.391263827150433e-07,7.091698532192936e-11,-6.391263827150433e-07,0.0,-0.0013468230164867538,7.091698532192936e-11,-0.0013468230164867538,0.0
49,756.5728269688493,1.38538496784872e-08,0.75,0.0,-1.761926909359203e-06,8.827840496284795e-12,-1.761926909359203e-06,0.0,0.0002166751370496162,8.827840496284795e-12,0.0002166751370496162,0.0
50,756.576764145948,1.191530482832614e-08,0.75,0.0,2.300430329220138e-06,0.00020093877571120648,2.300430329220138e-06,0.0,-2.2099027376272623e-10,0.00020093877571120648,-2.2099027376272623e-10,0.0
51,764.9358428690025,0.009020188668587111,0.7499999999999999,0.0,-0.1760615092261421,1.4713067498878978e-13,-0.1760615092261421,0.0,-1.0734359782410335e-07,1.4713067498878978e-13,-1.0734359782410335e-07,0.0
52,765.3107842559536,0.00906539501803308,0.75,-0.17655680993011638,4.615489272927101e-15,6.305804445917187e-07,4.615489272927101e-15,0.17655680993011638,2.039445990492208e-06,6.305804445917187e-07,2.039445990492208e-06,0.0
53,795.4739017550602,2.3039639150191465e-10,0.75,0.0,-1.7946414149325318e-06,1.338889141983434e-12,-1.7946414149325318e-06,0.0,2.8786135679368272e-05,1.338889141983434e-12,2.8786135679368272e-05,0.0
54,795.4802709913404,1.0735069826664968e-08,0.75,0.0,-1.2926558285921728e-06,0.00019687164246378786,-1.2926558285921728e-06,0.0,0.0,0.00019687164246378786,0.0,0.0
55,797.4736545373668,3.5171876848742384e-05,0.75,0.0,-2.1470182043729557e-06,0.011286860479031852,-2.1470182043729557e-06,0.0,1.4713067498878978e-13,0.011286860479031852,1.4713067498878978e-13,0.0
56,797.4775170027793,4.438695125343031e-05,0.75,0.0,-1.0836406675936512e-06,2.0156902467074758e-11,-1.0836406675936512e-06,0.0,-0.012679565607976534,2.0156902467074758e-11,-0.012679565607976534,0.0
57,797.5727513065056,0.0018607536013020554,0.75,0.0,1.0143218156628797e-06,-0.08210202107481518,1.0143218156628797e-06,0.0,3.898962885966876e-12,-0.08210202107481518,3.898962885966876e-12,0.0
58,797.6033021551198,0.0018513284926475746,0.75,0.0,-2.5946269416069418e-06,-7.356533746396897e-13,-2.5946269416069418e-06,0.0,-0.08189580272081662,-7.356533746396897e-13,-0.08189580272081662,0.0
59,818.3156369997807,0.21389740164085536,0.037793751796393625,0.43403549107847494,-1.5502953235681896e-12,1.7381753102419837e-06,-1.5502953235681896e-12,0.43403549107847494,-7.627754433282315e-07,1.7381753102419837e-06,-7.627754433282315e-07,0.8857266631501576
60,867.510189355731,4.186014379265619e-12,0.7500000000000001,0.0,1.7869963579318763e-11,-3.2780262685880736e-06,1.7869963579318763e-11,0.0,-2.4721691980687576e-06,-3.2780262685880736e-06,-2.4721691980687576e-06,0.0
61,867.5173847635621,2.957142470145172e-10,0.75,0.0,-3.450796964860061e-05,4.1424494399213927e-08,-3.450796964860061e-05,0.0,2.2757746121054023e-07,4.1424494399213927e-08,2.2757746121054023e-07,0.0
62,901.9869623137752,8.476004230270278e-11,0.75,0.0,1.8932828218565223e-05,-1.7655680993330237e-12,1.8932828218565223e-05,0.0,1.7155113010739358e-07,-1.7655680993330237e-12,1.7155113010739358e-07,0.0
63,901.9957687527951,2.665383186780267e-13,0.7500000000000001,0.0,-9.358687971703656e-13,8.206587106798196e-07,-9.358687971703656e-13,0.0,6.736629545668527e-07,8.206587106798196e-07,6.736629545668527e-07,0.0
64,1003.648327960939,1.6474410345285397e-12,0.7499999999999999,0.0,-9.166152770474701e-07,1.4713067492793793e-12,-9.166152770474701e-07,0.0,-2.670486487692255e-06,1.4713067492793793e-12,-2.670486487692255e-06,0.0
65,1003.6583030617803,2.0325667101157283e-11,0.75,0.0,-7.818463742835241e-07,9.886472186241704e-06,-7.818463742835241e-07,0.0,2.6630652164451695e-11,9.886472186241704e-06,2.6630652164451695e-11,0.0
66,1041.0596138345816,5.334338260485057e-11,0.75,0.0,-1.6441430659718984e-05,0.0,-1.6441430659718984e-05,0.0,-1.934429974933469e-07,0.0,-1.934429974933469e-07,0.0
67,1041.0665601400822,3.0149883109153913e-13,0.75,0.0,2.0254070507383878e-11,-1.0559499389162131e-06,2.0254070507383878e-11,0.0,-6.42694890105084e-07,-1.0559499389162131e-06,-6.42694890105084e-07,0.0
68,1068.0195400112436,3.243578350530141e-11,0.75,0.0,1.1723610531063102e-07,4.840599205587068e-12,1.1723610531063102e-07,0.0,1.3030787127357311e-05,4.840599205587068e-12,1.3030787127357311e-05,0.0
69,1068.0238730922313,5.0820172131121164e-14,0.75,0.0,-5.064479125806715e-07,-9.786293852287274e-08,-5.064479125806715e-07,0.0,-8.239317796633894e-12,-9.786293852287274e-08,-8.239317796633894e-12,0.0
70,1116.650209632692,9.772270825183363e-12,0.75,0.0,-6.40952421521747e-06,-1.4713067492793793e-12,-6.40952421521747e-06,0.0,-3.61471083589257e-06,-1.4713067492793793e-12,-3.61471083589257e-06,0.0
71,1116.665596727587,5.221277629130444e-12,0.7500000000000001,0.0,1.8492736828906043e-12,-4.961128654500534e-06,1.8492736828906043e-12,0.0,-2.0781726718234722e-06,-4.961128654500534e-06,-2.0781726718234722e-06,0.0
72,1140.698826219304,1.1289840640062553e-12,0.75,0.0,-1.1997776773363315e-06,-2.233622262257251e-06,-1.1997776773363315e-06,0.0,-5.060706695301212e-11,-2.233622262257251e-06,-5.060706695301212e-11,0.0
73,1174.764643261973,1.5882487865726798e-10,0.7499999999999999,0.0,3.0645406891621174e-05,0.0,3.0645406891621174e-05,0.0,1.7968473451419355e-07,0.0,1.7968473451419355e-07,0.0
74,1174.7829468144928,1.2186537562220281e-12,0.75,0.0,-3.193274144509274e-12,2.025972621052864e-06,-3.193274144509274e-12,0.0,1.7611925801605677e-06,2.025972621052864e-06,1.7611925801605677e-06,0.0
75,1201.810853937493,4.800663254595276e-12,0.75,0.0,-7.431589518302542e-07,1.1066875107778905e-08,-7.431589518302542e-07,0.0,-5.355376627069296e-06,1.1066875107778905e-08,-5.355376627069296e-06,0.0
76,1209.7772082711967,6.609270774098073e-14,0.7500000000000001,0.0,4.1868358219378516e-07,4.802167201986568e-07,4.1868358219378516e-07,0.0,2.9426134986348235e-13,4.802167201986568e-07,2.9426134986348235e-13,0.0
77,1209.8122328547706,7.300254439041903e-11,0.75,0.0,1.0227938941873834e-06,0.0,1.0227938941873834e-06,0.0,-2.114972849109263e-05,0.0,-2.114972849109263e-05,0.0
78,1212.0300668170914,7.318637548323433e-10,0.7499999999999999,0.0,-6.712282361579141e-05,-1.3241760745948488e-12,-6.712282361579141e-05,0.0,-2.001907927859369e-07,-1.3241760745948488e-12,-2.001907927859369e-07,0.0
79,1212.0598493875386,1.6151708773264543e-12,0.75,0.0,3.7801501577628786e-11,2.20302511422701e-06,3.7801501577628786e-11,0.0,2.2561785717712413e-06,2.20302511422701e-06,2.2561785717712413e-06,0.0
80,1226.8877308748042,4.7052702823689384e-11,0.7499999999999999,0.0,3.2208670312878744e-07,-4.413920248903045e-13,3.2208670312878744e-07,0.0,1.7151258187055874e-05,-4.413920248903045e-13,1.7151258187055874e-05,0.0
81,1226.912724268734,4.3696854923992663e-10,0.75,0.0,-1.9080581256262115e-06,-5.2242218422046216e-05,-1.9080581256262115e-06,0.0,-2.2952385290948983e-11,-5.2242218422046216e-05,-2.2952385290948983e-11,0.0
82,1239.7837848242334,1.8798732109402803e-12,0.75,0.0,7.913966263940021e-07,-3.3601996333271685e-06,7.913966263940021e-07,0.0,8.827840496284795e-13,-3.3601996333271685e-06,8.827840496284795e-13,0.0
83,1239.7972289916647,8.84621028232862e-12,0.75,0.0,3.5666888548982874e-06,1.47130674912725e-13,3.5666888548982874e-06,0.0,-6.584762734300257e-06,1.47130674912725e-13,-6.584762734300257e-06,0.0
84,1241.4983005042775,1.0866017858430206e-09,0.75,0.0,8.307024390740526e-05,-6.6208803724037585e-12,8.307024390740526e-05,0.0,-3.033615292596082e-07,-6.6208803724037585e-12,-3.033615292596082e-07,0.0
85,1241.511867843587,7.919150668371784e-13,0.75,0.0,1.4812674961124595e-13,6.952190697525886e-07,1.4812674961124595e-13,0.0,2.132137849301358e-06,6.952190697525886e-07,2.132137849301358e-06,0.0
86,1248.1662820516988,2.471562737712098e-10,0.75,0.0,-3.975360488923627e-05,-3.0897441736996782e-12,-3.975360488923627e-05,0.0,4.886276070754524e-07,-3.0897441736996782e-12,4.886276070754524e-07,0.0
87,1248.1752500391456,2.7853354019776552e-12,0.7499999999999999,0.0,1.0599543944961073e-12,-3.460523185257769e-06,1.0599543944961073e-12,0.0,-2.416077427655317e-06,-3.460523185257769e-06,-2.416077427655317e-06,0.0
88,1252.3916388283526,4.498561791237272e-11,0.75,0.0,7.701222664507795e-07,-5.296704297923006e-12,7.701222664507795e-07,0.0,1.698117806943655e-05,-5.296704297923006e-12,1.698117806943655e-05,0.0
89,1252.398879847738,2.253355480011947e-10,0.75,0.0,-2.805453722606023e-06,3.794107267849215e-05,-2.805453722606023e-06,0.0,-1.0299147246172693e-12,3.794107267849215e-05,-1.0299147246172693e-12,0.0
90,1270.3285786795877,6.134253252184193e-09,0.75,0.0,2.0420506198184892e-06,1.4713067483666024e-13,2.0420506198184892e-06,0.0,-0.00020033395093265534,1.4713067483666024e-13,-0.00020033395093265534,0.0
91,1270.332732900172,5.977503327959383e-09,0.75,0.0,-9.948596642429168e-07,0.00019776599098448965,-9.948596642429168e-07,0.0,0.0,0.00019776599098448965,0.0,0.0
92,1276.5731253219187,5.1174953494773423e-14,0.75,0.0,2.959739509401016e-13,-5.144357840539415e-07,2.959739509401016e-13,0.0,2.6898577123551056e-07,-5.144357840539415e-07,2.6898577123551056e-07,0.0
93,1276.5748266522437,4.153628828466454e-11,0.75,0.0,-1.610827090199407e-05,-1.4713067492793793e-12,-1.610827090199407e-05,0.0,3.748203041650843e-06,-1.4713067492793793e-12,3.748203041650843e-06,0.0
94,1298.8596690381053,1.0500483638081252e-12,0.7500000000000001,0.0,-3.930420895569377e-08,2.659208627196609e-06,-3.930420895569377e-08,0.0,-2.648352148961503e-12,2.659208627196609e-06,-2.648352148961503e-12,0.0
95,1301.4925104286647,0.09170008952831306,0.7500000000000001,0.0,-0.7869654918567773,2.0686572896829027e-09,-0.7869654918567773,0.0,6.583061903697929e-07,2.0686572896829027e-09,6.583061903697929e-07,0.0
96,1301.496781259921,0.09174249228575336,0.75,0.7871491109390344,-7.768793898281601e-13,-4.9203031290790095e-06,-7.768793898281601e-13,-0.7871491109390344,-3.5794717150679136e-06,-4.9203031290790095e-06,-3.5794717150679136e-06,0.0
97,1307.3318333712052,1.4352167265699841e-08,0.75,0.0,-0.0003122502818555475,-1.500732884414054e-11,-0.0003122502818555475,0.0,-1.2075720719720527e-07,-1.500732884414054e-11,-1.2075720719720527e-07,0.0
98,1329.049733972961,1.680767500889931e-05,0.75,0.0,-8.508250600938299e-07,0.0,-8.508250600938299e-07,0.0,0.010801751516760702,0.0,0.010801751516760702,0.0
99,1329.0515933226047,1.6849363844737424e-05,0.75,0.0,-1.5793300909612222e-07,0.010815149236020907,-1.5793300909612222e-07,0.0,5.885226997726036e-12,0.010815149236020907,5.885226997726036e-12,0.0
100,1340.1511666814513,1.0,0.7214230435165626,-1.243254203258937,2.0746249098585973e-12,-1.0899616956505046e-06,2.0746249098585973e-12,-1.243254203258937,7.418075565809131e-07,-1.0899616956505046e-06,7.418075565809131e-07,3.294255811948712
101,1344.4182856628104,3.98118583055988e-09,0.75,0.0,0.0001675070375236708,0.0,0.0001675070375236708,0.0,-9.196844229267582e-08,0.0,-9.196844229267582e-08,0.0
102,1344.4480431425663,3.0714480988364844e-07,0.7500000000000001,0.0,6.930296181787775e-13,-3.589161005666212e-06,6.930296181787775e-13,0.0014713067496245436,-1.7414396985269197e-06,-3.589161005666212e-06,-1.7414396985269197e-06,-0.0014713067496245436
103,1428.3002321259196,2.1338753486348795e-06,0.75,0.0,-1.755047520390945e-07,4.4139202481423975e-13,-1.755047520390945e-07,0.0,0.004036905250251819,4.4139202481423975e-13,0.004036905250251819,0.0
104,1428.323477280406,2.4551453714821044e-06,0.75,0.0,-1.1999071523302803e-07,0.004330194066374231,-1.1999071523302803e-07,0.0,1.1770453994539294e-12,0.004330194066374231,1.1770453994539294e-12,0.0
105,1471.2533151751272,0.02712521712808891,0.75,0.0,1.0715022397802705e-07,0.0,1.0715022397802705e-07,0.0,-0.46427628861410275,0.0,-0.46427628861410275,0.0
106,1471.2838031702588,0.027123824741221873,0.75,0.0,-1.1690257478360525e-06,-0.4642708447791299,-1.1690257478360525e-06,0.0,4.4139202481423975e-13,-0.4642708447791299,4.4139202481423975e-13,0.0
107,1476.4833576266954,0.0045387965820881965,0.75,0.0,-0.190369555398351,-3.4134316586598026e-11,-0.190369555398351,0.0,6.84718647743336e-07,-3.4134316586598026e-11,6.84718647743336e-07,0.0
108,1477.0917412572135,0.004544333394751501,0.75,-0.18979857067510375,1.088496274128085e-12,-1.620362187850366e-06,1.088496274128085e-12,0.19126987742440163,-4.405068866852158e-07,-1.620362187850366e-06,-4.405068866852158e-07,-0.0014713067492978479
