frequency_cm-1,normalized_intensity
4.363636363636363740e+02,1.204819277108433798e-02
4.384122919334187145e+02,1.204819277108433798e-02
4.404609475032009982e+02,1.204819277108433798e-02
4.425096030729833387e+02,1.204819277108433798e-02
4.445582586427656793e+02,1.204819277108433798e-02
4.466069142125480198e+02,1.204819277108433798e-02
4.486555697823303603e+02,1.204819277108433798e-02
4.507042253521127009e+02,1.204819277108433798e-02
4.527528809218949846e+02,1.204819277108433798e-02
4.548015364916773251e+02,1.204819277108433798e-02
4.568501920614596656e+02,1.204819277108433798e-02
4.588988476312420062e+02,1.204819277108433798e-02
4.609475032010243467e+02,1.204819277108433798e-02
4.629961587708066304e+02,1.204819277108433798e-02
4.650448143405889709e+02,1.204819277108433798e-02
4.670934699103713115e+02,1.204819277108433798e-02
4.691421254801536520e+02,1.204819277108433798e-02
4.711907810499359925e+02,1.204819277108433798e-02
4.732394366197183331e+02,1.204819277108433798e-02
4.752880921895006168e+02,1.204819277108433798e-02
4.773367477592829573e+02,1.204819277108433798e-02
4.793854033290652978e+02,1.204819277108433798e-02
4.814340588988476384e+02,1.204819277108433798e-02
4.834827144686299789e+02,1.204819277108433798e-02
4.855313700384123194e+02,1.204819277108433798e-02
4.875800256081946031e+02,1.204819277108433798e-02
4.896286811779769437e+02,1.204819277108433798e-02
4.916773367477592842e+02,1.204819277108433798e-02
4.937259923175416247e+02,1.204819277108433798e-02
4.957746478873239653e+02,1.204819277108433798e-02
4.978233034571062490e+02,1.204819277108433798e-02
4.998719590268885895e+02,1.204819277108433798e-02
5.019206145966709300e+02,1.204819277108433798e-02
5.039692701664532706e+02,1.204819277108433798e-02
5.060179257362356111e+02,1.204819277108433798e-02
5.080665813060179516e+02,1.204819277108433798e-02
5.101152368758002353e+02,1.204819277108433798e-02
5.121638924455826327e+02,1.204819277108433798e-02
5.142125480153649733e+02,1.204819277108433798e-02
5.162612035851472001e+02,1.204819277108433798e-02
5.183098591549295406e+02,1.204819277108433798e-02
5.203585147247118812e+02,1.204819277108433798e-02
5.224071702944942217e+02,1.204819277108433798e-02
5.244558258642765622e+02,1.204819277108433798e-02
5.265044814340589028e+02,1.204819277108433798e-02
5.285531370038412433e+02,1.204819277108433798e-02
5.306017925736235838e+02,1.204819277108433798e-02
5.326504481434059244e+02,1.204819277108433798e-02
5.346991037131882649e+02,1.204819277108433798e-02
5.367477592829706055e+02,1.204819277108433798e-02
5.387964148527528323e+02,1.204819277108433798e-02
5.408450704225351728e+02,1.204819277108433798e-02
5.428937259923175134e+02,1.204819277108433798e-02
5.449423815620998539e+02,1.204819277108433798e-02
5.469910371318821944e+02,1.204819277108433798e-02
5.490396927016645350e+02,1.204819277108433798e-02
5.510883482714468755e+02,1.204819277108433798e-02
5.531370038412292161e+02,1.204819277108433798e-02
5.551856594110115566e+02,1.204819277108433798e-02
5.572343149807938971e+02,1.204819277108433798e-02
5.592829705505762377e+02,1.204819277108433798e-02
5.613316261203584645e+02,1.204819277108433798e-02
5.633802816901408050e+02,1.204819277108433798e-02
5.654289372599231456e+02,1.204819277108433798e-02
5.674775928297054861e+02,1.204819277108433798e-02
5.695262483994878266e+02,1.204819277108433798e-02
5.715749039692701672e+02,1.204819277108433798e-02
5.736235595390525077e+02,1.204819277108433798e-02
5.756722151088348483e+02,1.204819277108433798e-02
5.777208706786171888e+02,2.409638554216867595e-02
5.797695262483995293e+02,2.409638554216867595e-02
5.818181818181818699e+02,1.204819277108433798e-02
5.838668373879640967e+02,1.204819277108433798e-02
5.859154929577464372e+02,1.204819277108433798e-02
5.879641485275287778e+02,1.204819277108433798e-02
5.900128040973111183e+02,1.204819277108433798e-02
5.920614596670934588e+02,1.204819277108433798e-02
5.941101152368757994e+02,1.204819277108433798e-02
5.961587708066581399e+02,1.204819277108433798e-02
5.982074263764404805e+02,1.204819277108433798e-02
6.002560819462228210e+02,1.204819277108433798e-02
6.023047375160051615e+02,1.204819277108433798e-02
6.043533930857875021e+02,1.204819277108433798e-02
6.064020486555697289e+02,1.204819277108433798e-02
6.084507042253520694e+02,1.204819277108433798e-02
6.104993597951344100e+02,1.204819277108433798e-02
6.125480153649167505e+02,1.204819277108433798e-02
6.145966709346990910e+02,1.204819277108433798e-02
6.166453265044814316e+02,1.204819277108433798e-02
6.186939820742637721e+02,1.204819277108433798e-02
6.207426376440461127e+02,1.204819277108433798e-02
6.227912932138284532e+02,1.204819277108433798e-02
6.248399487836107937e+02,1.204819277108433798e-02
6.268886043533931343e+02,1.204819277108433798e-02
6.289372599231753611e+02,1.204819277108433798e-02
6.309859154929577016e+02,1.204819277108433798e-02
6.330345710627400422e+02,1.204819277108433798e-02
